table_name,column_name,data_type,is_nullable,column_default,referenced_table,referenced_column,constraint_name
conversations,id,integer,NO,nextval('conversations_id_seq'::regclass),null,null,null
conversations,user_id,integer,NO,null,users,id,conversations_user_id_fkey
conversations,persona_id,integer,NO,null,personas,id,conversations_persona_id_fkey
conversations,title,character varying,YES,null,null,null,null
conversations,created_at,timestamp without time zone,YES,now(),null,null,null
conversations,updated_at,timestamp without time zone,YES,now(),null,null,null
documentation_plans,id,uuid,NO,gen_random_uuid(),null,null,null
documentation_plans,plan_name,text,NO,null,null,null,null
documentation_plans,version,text,NO,null,null,null,null
documentation_plans,created_at,timestamp with time zone,YES,now(),null,null,null
documentation_plans,updated_at,timestamp with time zone,YES,now(),null,null,null
documentation_plans,content,text,YES,null,null,null,null
documentation_plans,structured_data,jsonb,YES,null,null,null,null
documentation_plans,category,text,YES,null,null,null,null
dtdl_models,id,text,NO,null,null,null,null
dtdl_models,json,jsonb,NO,null,null,null,null
dtdl_models,version,integer,NO,null,null,null,null
ent_capabilities,id,character varying,NO,null,null,null,null
ent_capabilities,year,integer,NO,null,null,null,null
ent_capabilities,name,character varying,YES,null,null,null,null
ent_capabilities,description,text,YES,null,null,null,null
ent_capabilities,quarter,integer,YES,null,null,null,null
ent_capabilities,maturity_level,integer,YES,null,null,null,null
ent_capabilities,level,character varying,NO,null,null,null,null
ent_capabilities,parent_id,character varying,YES,null,ent_capabilities,id,ent_capabilities_parent_id_parent_year_fkey
ent_capabilities,parent_id,character varying,YES,null,ent_capabilities,year,ent_capabilities_parent_id_parent_year_fkey
ent_capabilities,parent_year,integer,YES,null,ent_capabilities,year,ent_capabilities_parent_id_parent_year_fkey
ent_capabilities,parent_year,integer,YES,null,ent_capabilities,id,ent_capabilities_parent_id_parent_year_fkey
ent_capabilities,status,character varying,YES,null,null,null,null
ent_capabilities,target_maturity_level,character varying,YES,null,null,null,null
ent_capabilities,type,text,YES,null,null,null,null
ent_change_adoption,id,character varying,NO,null,null,null,null
ent_change_adoption,year,integer,NO,null,null,null,null
ent_change_adoption,quarter,integer,YES,null,null,null,null
ent_change_adoption,name,character varying,YES,null,null,null,null
ent_change_adoption,level,character varying,NO,null,null,null,null
ent_change_adoption,parent_id,character varying,YES,null,ent_change_adoption,id,ent_change_adoption_parent_id_parent_year_fkey
